CONSUMER,PAIR,PRODUCT,MANGO,LEMON,CASSIS,CHOSEN
1,1,2,0.6,1.1,0.3,0
1,1,4,1.05,0.65,0.3,1
1,2,7,0.9,0.5,0.6,0
1,2,1,1.5,0.2,0.3,1
1,3,4,1.05,0.65,0.3,1
1,3,7,0.9,0.5,0.6,0
1,4,1,1.5,0.2,0.3,1
1,4,2,0.6,1.1,0.3,0
2,1,3,0.6,0.2,1.2,1
2,1,5,0.6,0.65,0.75,0
2,2,7,0.9,0.5,0.6,1
2,2,6,1.05,0.2,0.75,0
2,3,5,0.6,0.65,0.75,0
2,3,7,0.9,0.5,0.6,1
2,4,6,1.05,0.2,0.75,0
2,4,3,0.6,0.2,1.2,1
3,1,2,0.6,1.1,0.3,0
3,1,4,1.05,0.65,0.3,1
3,2,7,0.9,0.5,0.6,1
3,2,5,0.6,0.65,0.75,0
3,3,4,1.05,0.65,0.3,0
3,3,7,0.9,0.5,0.6,1
3,4,5,0.6,0.65,0.75,1
3,4,2,0.6,1.1,0.3,0
4,1,1,1.5,0.2,0.3,1
4,1,4,1.05,0.65,0.3,0
4,2,6,1.05,0.2,0.75,1
4,2,7,0.9,0.5,0.6,0
4,3,4,1.05,0.65,0.3,0
4,3,6,1.05,0.2,0.75,1
4,4,7,0.9,0.5,0.6,1
4,4,1,1.5,0.2,0.3,0
5,1,2,0.6,1.1,0.3,0
5,1,7,0.9,0.5,0.6,1
5,2,4,1.05,0.65,0.3,1
5,2,5,0.6,0.65,0.75,0
5,3,7,0.9,0.5,0.6,1
5,3,4,1.05,0.65,0.3,0
5,4,5,0.6,0.65,0.75,1
5,4,2,0.6,1.1,0.3,0
6,1,7,0.9,0.5,0.6,1
6,1,3,0.6,0.2,1.2,0
6,2,6,1.05,0.2,0.75,0
6,2,1,1.5,0.2,0.3,1
6,3,3,0.6,0.2,1.2,0
6,3,6,1.05,0.2,0.75,1
6,4,1,1.5,0.2,0.3,1
6,4,7,0.9,0.5,0.6,0
7,1,1,1.5,0.2,0.3,0
7,1,7,0.9,0.5,0.6,1
7,2,3,0.6,0.2,1.2,0
7,2,6,1.05,0.2,0.75,1
7,3,7,0.9,0.5,0.6,1
