CONSUMER,PAIR,MANGO,LEMON,CASSIS,TEMP,CHOSEN
1,1,0.3,0.55,0.15,1,0
1,1,0.525,0.325,0.15,1,1
1,2,0.45,0.25,0.3,1,0
1,2,0.75,0.1,0.15,1,1
1,3,0.525,0.325,0.15,1,1
1,3,0.45,0.25,0.3,1,0
1,4,0.75,0.1,0.15,1,1
1,4,0.3,0.55,0.15,1,0
2,1,0.3,0.1,0.6,1,1
2,1,0.3,0.325,0.375,1,0
2,2,0.45,0.25,0.3,1,1
2,2,0.525,0.1,0.375,1,0
2,3,0.3,0.325,0.375,1,0
2,3,0.45,0.25,0.3,1,1
2,4,0.525,0.1,0.375,1,0
2,4,0.3,0.1,0.6,1,1
3,1,0.3,0.55,0.15,1,0
3,1,0.525,0.325,0.15,1,1
3,2,0.45,0.25,0.3,1,1
3,2,0.3,0.325,0.375,1,0
3,3,0.525,0.325,0.15,1,0
3,3,0.45,0.25,0.3,1,1
3,4,0.3,0.325,0.375,1,1
3,4,0.3,0.55,0.15,1,0
4,1,0.75,0.1,0.15,1,1
4,1,0.525,0.325,0.15,1,0
4,2,0.525,0.1,0.375,1,1
4,2,0.45,0.25,0.3,1,0
4,3,0.525,0.325,0.15,1,0
4,3,0.525,0.1,0.375,1,1
4,4,0.45,0.25,0.3,1,1
4,4,0.75,0.1,0.15,1,0
5,1,0.3,0.55,0.15,1,0
5,1,0.45,0.25,0.3,1,1
5,2,0.525,0.325,0.15,1,1
5,2,0.3,0.325,0.375,1,0
5,3,0.45,0.25,0.3,1,1
5,3,0.525,0.325,0.15,1,0
5,4,0.3,0.325,0.375,1,1
5,4,0.3,0.55,0.15,1,0
6,1,0.45,0.25,0.3,1,1
6,1,0.3,0.1,0.6,1,0
6,2,0.525,0.1,0.375,1,0
6,2,0.75,0.1,0.15,1,1
6,3,0.3,0.1,0.6,1,0
6,3,0.525,0.1,0.375,1,1
6,4,0.75,0.1,0.15,1,1
6,4,0.45,0.25,0.3,1,0
7,1,0.75,0.1,0.15,1,0
7,1,0.45,0.25,0.3,1,1
7,2,0.3,0.1,0.6,1,0
7,2,0.525,0.1,0.375,1,1
7,3,0.45,0.25,0.3,1,1
7,3,0.3,0.1,0.6,1,0
7,4,0.525,0.1,0.375,1,1
7,4,0.75,0.1,0.15,1,0
8,1,0.525,0.325,0.15,1,0
8,1,0.45,0.25,0.3,1,1
8,2,0.75,0.1,0.15,1,1
8,2,0.525,0.1,0.375,1,0
8,3,0.45,0.25,0.3,1,1
8,3,0.75,0.1,0.15,1,0
8,4,0.525,0.1,0.375,1,1
8,4,0.525,0.325,0.15,1,0
9,1,0.45,0.25,0.3,1,0
9,1,0.75,0.1,0.15,1,1
9,2,0.3,0.55,0.15,1,0
9,2,0.525,0.325,0.15,1,1
9,3,0.75,0.1,0.15,1,1
9,3,0.3,0.55,0.15,1,0
9,4,0.525,0.325,0.15,1,0
9,4,0.45,0.25,0.3,1,1
10,1,0.75,0.1,0.15,1,1
10,1,0.525,0.1,0.375,1,0
10,2,0.525,0.325,0.15,1,0
10,2,0.45,0.25,0.3,1,1
10,3,0.525,0.1,0.375,1,1
10,3,0.525,0.325,0.15,1,0
10,4,0.45,0.25,0.3,1,0
10,4,0.75,0.1,0.15,1,1
11,1,0.45,0.25,0.3,1,1
11,1,0.525,0.325,0.15,1,0
11,2,0.3,0.325,0.375,1,1
11,2,0.3,0.55,0.15,1,0
11,3,0.525,0.325,0.15,1,0
11,3,0.3,0.325,0.375,1,1
11,4,0.3,0.55,0.15,1,0
11,4,0.45,0.25,0.3,1,1
12,1,0.45,0.25,0.3,1,1
12,1,0.3,0.1,0.6,1,0
12,2,0.525,0.1,0.375,1,1
12,2,0.3,0.325,0.375,1,0
12,3,0.3,0.1,0.6,1,0
12,3,0.525,0.1,0.375,1,1
12,4,0.3,0.325,0.375,1,0
12,4,0.45,0.25,0.3,1,1
13,1,0.75,0.1,0.15,1,0
13,1,0.45,0.25,0.3,1,1
13,2,0.525,0.325,0.15,1,0
13,2,0.525,0.1,0.375,1,1
13,3,0.45,0.25,0.3,1,1
13,3,0.525,0.325,0.15,1,0
13,4,0.525,0.1,0.375,1,0
13,4,0.75,0.1,0.15,1,1
14,1,0.75,0.1,0.15,1,1
14,1,0.3,0.1,0.6,1,0
14,2,0.45,0.25,0.3,1,0
14,2,0.525,0.1,0.375,1,1
14,3,0.3,0.1,0.6,1,0
14,3,0.45,0.25,0.3,1,1
14,4,0.525,0.1,0.375,1,1
14,4,0.75,0.1,0.15,1,0
15,1,0.45,0.25,0.3,1,0
15,1,0.3,0.55,0.15,1,1
15,2,0.3,0.1,0.6,1,0
15,2,0.3,0.325,0.375,1,1
15,3,0.3,0.55,0.15,1,1
15,3,0.3,0.1,0.6,1,0
15,4,0.3,0.325,0.375,1,0
15,4,0.45,0.25,0.3,1,1
16,1,0.45,0.25,0.3,1,1
16,1,0.3,0.325,0.375,1,0
16,2,0.525,0.1,0.375,1,0
16,2,0.3,0.1,0.6,1,1
16,3,0.3,0.325,0.375,1,0
16,3,0.525,0.1,0.375,1,1
16,4,0.3,0.1,0.6,1,0
16,4,0.45,0.25,0.3,1,1
17,1,0.3,0.325,0.375,1,0
17,1,0.525,0.325,0.15,1,1
17,2,0.45,0.25,0.3,1,1
17,2,0.3,0.55,0.15,1,0
17,3,0.525,0.325,0.15,1,1
17,3,0.45,0.25,0.3,1,0
17,4,0.3,0.55,0.15,1,0
17,4,0.3,0.325,0.375,1,1
18,1,0.45,0.25,0.3,1,1
18,1,0.75,0.1,0.15,1,0
18,2,0.525,0.1,0.375,1,1
18,2,0.3,0.1,0.6,1,0
18,3,0.75,0.1,0.15,1,1
18,3,0.525,0.1,0.375,1,0
18,4,0.3,0.1,0.6,1,0
18,4,0.45,0.25,0.3,1,1
